Titel;URL
Percentage calculation with formula - calculate percentage value (W) | Lehrerschmidt;https://www.youtube.com/watch?v=PiTFi7dFXAI
Rule of three - calculate percentage (p%) - simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=PYAMvUQLcZY
Rule of three - calculate the base value (G) - simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=YMfo-vKIo0o
Bad half-year report card? Risk of promotion? This is what you can do! | Lehrerschmidt;https://www.youtube.com/watch?v=n4qJhMHYwWc
Elternratgeber: Wenn das Halbjahreszeugnis nicht so toll aussieht... | Lehrerschmidt;https://www.youtube.com/watch?v=LFKRiOWdX5k
Rule of three - calculate percentage value | This is how the rule of three works! | Lehrerschmidt;https://www.youtube.com/watch?v=qezXCuGFZ8A
Constructing the perpendicular bisector with a compass | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=9QjBJWq1KUo
Dividing powers with the same base or the same exponent | Lehrerschmidt;https://www.youtube.com/watch?v=TFFIjonEL4c
Multiplying powers with the same base or exponent | Lehrerschmidt;https://www.youtube.com/watch?v=jstkmUnbFqY
Merry Christmas - What's for dinner today?;https://www.youtube.com/watch?v=ve6om0X9RPI
Powers with brackets in the base - calculation rules simply explained | Lehrerschmidt;https://www.youtube.com/watch?v=AmLCv22uxos
Percentage calculation - formula triangle | Learn the formula(s) easily! | Lehrerschmidt;https://www.youtube.com/watch?v=Smqbv6KTHHk
Calculating powers with negative exponents - simple examples | Lehrerschmidt;https://www.youtube.com/watch?v=0mZzbYLarGQ
Powers with a negative base - This is the difference |  Lehrerschmidt;https://www.youtube.com/watch?v=at4S6xLfU5o
Powers of ten - power notation - very large and very small numbers | Lehrerschmidt;https://www.youtube.com/watch?v=4lHr8-mNtv8
Exponentiation - a quick introduction (overview) |  Lehrerschmidt;https://www.youtube.com/watch?v=v9ewM6uZ2Ys
2,000,000 Special - 10 Years of Lehrerschmidt;https://www.youtube.com/watch?v=UUYPBwGaYNE
Parenting Guide - When Mom does homework and studies for exams...;https://www.youtube.com/watch?v=CEQ4TpbkQ_c
Square numbers up to 20 – You have to learn them by heart! |  Lehrerschmidt;https://www.youtube.com/watch?v=PUzbHO-JBV4
Kein Bock! .... für die nächste Arbeit zu lernen! Was kann ich tun?;https://www.youtube.com/watch?v=ObKUACTZc9Y
Exponentiation: Why is x to the power of 0 = 1 | explained by Lehrerschmidt;https://www.youtube.com/watch?v=vnOCrWbZbX4
Exponentiation - base, exponent, power and power value - quickly explained;https://www.youtube.com/watch?v=M6JnZe-yGtI
Here it is! I'm so grateful to you for letting me experience this!;https://www.youtube.com/watch?v=uUSque-zc9I
Elternratgeber: Medienzeit der Kinder - Wie machst Du es?;https://www.youtube.com/watch?v=C8idDQbGnfQ
Now it's official: I am so grateful to you!;https://www.youtube.com/watch?v=v7bSj_z1DeY
Linear function: Does the point lie on the line? Check by reading | Lehrerschmidt;https://www.youtube.com/watch?v=JaZ6y3UVd-A
parallel linear functions have no intersection point |  Lehrerschmidt;https://www.youtube.com/watch?v=5nHirLbc4fc
We're a little nervous.... Will we see each other in Paderborn for the reading?;https://www.youtube.com/watch?v=SbLxSr72scM
linear function - calculate zero;https://www.youtube.com/watch?v=JAqnYlowQjI
Clean out and tidy up... get rid of the junk;https://www.youtube.com/watch?v=8ZkOmRYWixU
linear function - reading the zero |  Lehrerschmidt;https://www.youtube.com/watch?v=icmVzA9fNuw
Now everything works... finally! Thanks for your support! #GamingPC;https://www.youtube.com/watch?v=gf7phXyextQ
lineare Funktion - Wertetabelle erstellen - durch Ablesen im Koordinatensystem | Lehrerschmidt;https://www.youtube.com/watch?v=PV_Nse6Z8l0
Punkt in ein Koordinatensystem eintragen - einfach erklärt | Lehrerschmidt;https://www.youtube.com/watch?v=FjlOTTc4z_U
Creating a coordinate system and plotting a point | Teacher Schmidt - simply explained;https://www.youtube.com/watch?v=xTbG14nvIbQ
Leider muss der PC zur Reparatur... Fehler nicht gefunden! Danke an @Bens_Hardware & @KreativEcke;https://www.youtube.com/watch?v=oSzlfcpxf9o
New PC and unexpected problems... I hadn't imagined it would be that way!;https://www.youtube.com/watch?v=kb2Yvsptr-U
Simplifying expressions - very simple examples to get started with the topic | Teacher Schmidt;https://www.youtube.com/watch?v=lnIhp2lV3yU
Back-to-school review: Test yourself! - Part 8: Rule of three & assignments;https://www.youtube.com/watch?v=SpNzypAl5Ds
Back-to-School Review: Test Yourself! - Part 7: Terms and Equations;https://www.youtube.com/watch?v=dUsQGeKAaKA
Wiederholung zum Schulstart : Teste Dich! - Teil 6: Maßeinheiten;https://www.youtube.com/watch?v=3iqxto3rQvA
Wiederholung zum Schulstart : Teste Dich! - Teil 5: Bruchrechnung;https://www.youtube.com/watch?v=GfOY_va-yng
Back-to-school review: Test yourself! - Part 4: negative numbers;https://www.youtube.com/watch?v=SKSncx439BE
Wiederholung zum Schulstart: Teste Dich! - Teil 3: Addieren und Subtrahieren mit mehreren Zahlen;https://www.youtube.com/watch?v=mhYZVXc7F9o
Back-to-school review: Test yourself! - Part 2: Decimal numbers;https://www.youtube.com/watch?v=tN9xs8P4m18
Wiederholung zum Schulstart: Teste Dich! - Teil 1: Grundrechenarten;https://www.youtube.com/watch?v=K2yQ5HMCHWk
Vorbereitung auf das neue Schuljahr;https://www.youtube.com/watch?v=Qjj_tKfvs6w
Should smartphones be banned in schools?;https://www.youtube.com/watch?v=Jp1iH2oAOjU
Report Cards & Summer Break! - Have a Great Time!;https://www.youtube.com/watch?v=duJEvUKB5Kg
Schulabschluss in der Tasche! Und was kommt jetzt? Ein kleiner Tipp von mir!;https://www.youtube.com/watch?v=Gq3zMEJP8BU
Successfully master your oral exam! Small tips for success! Lehrerschmidt;https://www.youtube.com/watch?v=TDIzOWHCSto
Promotion at risk? What can I do? Tips to still make it through! Lehrerschmidt;https://www.youtube.com/watch?v=62qbtzAAYqQ
Zu Besuch in der TV Sendung „3 nach 9“;https://www.youtube.com/watch?v=yIbO7CQy99I
von der Idee zum Buch ... eine kurze Erzählung - Es wird ein Grundschulratgeber!;https://www.youtube.com/watch?v=0oHIObFYu6s
Wie stehst du zum Thema Hausaufgaben? sinnvoll oder veraltet?;https://www.youtube.com/watch?v=y2b68XWw7ME
To change the school system? What would your suggestion be?;https://www.youtube.com/watch?v=5ekINVgT__Q
Calculate period - interest calculation - KIP formula - convert formula - simply explained |  Leh...;https://www.youtube.com/watch?v=njDLN-o0ct8
Wenn dein Zeugnis nicht so toll aussieht...;https://www.youtube.com/watch?v=TtpfulsUq7k
Kann ich noch ein Referat halten?;https://www.youtube.com/watch?v=PUj0yACFc14
Wir müssen reden: Auf ein ernstes Wort!;https://www.youtube.com/watch?v=qiu0gScRW7M
Greetings from the Autobahn... Why is it like this?;https://www.youtube.com/watch?v=XGPNQqz6cIU
Merry Christmas, dear community!;https://www.youtube.com/watch?v=8m6FaERb6Fw
I need your help: Gaming PC;https://www.youtube.com/watch?v=bYOloEpEvts
60 Cent + 60 Cent = 1,20€ oder 1,2€ ?;https://www.youtube.com/watch?v=XaoWqQvc6FY
Should we all read more again?;https://www.youtube.com/watch?v=G9tPBJRef7U
Einmaleins lernen - Vorgehensweise für Eltern von Lehrerschmidt;https://www.youtube.com/watch?v=_lGHu0xMdio
Northern Italy: Lake Garda, Verona, and Venice - Lehrerschmidt on the road;https://www.youtube.com/watch?v=YIRujQRnJM8
Teacher's Day - Teacher's Day - Who has influenced your life?;https://www.youtube.com/watch?v=N5M-CZRVtmc
Youth Word of the Year 2023 - Goofy, Side Eye or NPC?;https://www.youtube.com/watch?v=K-ux9K8heGA
Abolish school grades and homework? No!;https://www.youtube.com/watch?v=6SCOQZG_8RQ
Visiting Bellevue Palace at the Citizens' Festival 2023;https://www.youtube.com/watch?v=8lvn_ybFafY
Zinssatz berechnen - KIP-Formel - Formel für Zinsmonate | Lehrerschmidt;https://www.youtube.com/watch?v=x4JptYwNvUw
Einladung nach Berlin ins Schloss Bellevue | Lehrerschmidt unterwegs;https://www.youtube.com/watch?v=yzMiFgphhl4
Hausaufgaben erledigt? Das neue Schuljahr beginnt!;https://www.youtube.com/watch?v=9sJ5nAQf1rQ
I Wish You a Wonderful Summer Break! I Have Three Tasks for You! | Lehrerschmidt;https://www.youtube.com/watch?v=2R97vGNp7iw
Propagating basil – it's that easy! |  Lehrerschmidt;https://www.youtube.com/watch?v=X6_XQkk4AfM
Calculate percentage price reduction (long and short route) | Teacher Schmidt;https://www.youtube.com/watch?v=LdLcm8jFMv8
Informatik - erste Schritte - ein kurzes Update und eine Frage | Lehrerschmidt;https://www.youtube.com/watch?v=APe3OmhoI4M
Kein Gassitogo mehr & eine Frage an euch! | Lehrerschmidt;https://www.youtube.com/watch?v=wz6ZN5FQ0yA
Kapital berechnen - Zinsjahr, Zinsmonate, Zinstage - Zinsrechnung | Lehrerschmidt;https://www.youtube.com/watch?v=wgmObe6V9R8
Calculating interest - KIP formula - Formula for interest days | Lehrerschmidt;https://www.youtube.com/watch?v=zv7cC4oG3gE
Zinsen berechnen - KIP-Formel - Formel für Zinsmonate | Lehrerschmidt;https://www.youtube.com/watch?v=aC-d4gJ837Q
Zinsen berechnen - KIP-Formel - Grundformel  (1 Jahr) kennenlernen | Lehrerschmidt;https://www.youtube.com/watch?v=ZywulDFgGAU
Agio und Disagio berechnen | Aufgeld und Abgeld berechnen - Prozentrechnung | Lehrerschmidt;https://www.youtube.com/watch?v=1m-UeheYD3U
Skonto berechnen - Preisnachlass bei sofortiger Zahlung | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=9ZIhHK1Lr9U
Percentage calculation using a formula - Calculating the base value - Step by step | Lehrerschmidt;https://www.youtube.com/watch?v=MoWWJPpMCBA
Prozentrechnung mit Formel - Prozentsatz berechnen - Schritt für Schritt | Lehrerschmidt;https://www.youtube.com/watch?v=zxpxFQ7iwmI
Percentage calculation with formula - Calculating percentage value - Step by step | Teacher Schmidt;https://www.youtube.com/watch?v=STRLNoknUl4
Prozentrechnung - Formeldreieck - Formeln sicher und einfach notieren | Lehrerschmidt;https://www.youtube.com/watch?v=o8B-kKVSuiU
Prozentrechnung mit Faktor - so geht es noch schneller | Lehrerschmidt;https://www.youtube.com/watch?v=cLzb_wjnvBM
Rule of Three - Calculating the Base Value - Introduction with Very Simple Exercises |  Lehrersch...;https://www.youtube.com/watch?v=K04wnXsmzOE
Rule of Three - Calculating Percentages - Introduction with Simple Exercises | Lehrerschmidt;https://www.youtube.com/watch?v=ydlXV65fbos
Dreisatz - Prozentwert berechnen - Einführung mit einfachen Aufgaben | Lehrerschmidt;https://www.youtube.com/watch?v=FpAzwrPi4kg
Percentage calculations – fast and accurate in your head – with even numbers |  Lehrerschmidt;https://www.youtube.com/watch?v=8GLO5ZH2yHo
Was ist wirklich wichtig? #Gassitogo;https://www.youtube.com/watch?v=k4sxWXEXVFk
Merry Christmas to you! What's for dinner?;https://www.youtube.com/watch?v=EnXsBDno4Ug
Square numbers and square roots from 10 to 20 for memorization and repetition | Teacher Schmidt;https://www.youtube.com/watch?v=b6ELokH7JxI
Potenz als Produkt schreiben  - Potenzschreibweise - Mathematik | Lehrerschmidt;https://www.youtube.com/watch?v=Ws4YNO3hNvc
Das 1.500.000 Nicht-Special | Lehrerschmidt sagt danke!;https://www.youtube.com/watch?v=S-n1yc4QpxQ
Potenzschreibweise - Basis, Exponent, Potenz und Potenzwert | Mathematik - Lehrerschmidt;https://www.youtube.com/watch?v=FPabjK17IQk
Alles multipliziert mit Null ergibt Null | x * 0 = 0 | Grundlagen der Mathematik mit Lehrerschmidt;https://www.youtube.com/watch?v=xfdQtDKT5pY
lineare Funktion in ein Koordinatensystem eintragen - mit einem Steigungsdreieck | Lehrerschmidt;https://www.youtube.com/watch?v=ErD3rr-BQJs
How to determine linear functions from a coordinate system with exercises | Lehrerschmidt;https://www.youtube.com/watch?v=i8FAj-joEt4
Koordinatensystem - Punkte eintragen mit Übung | Lehrerschmidt;https://www.youtube.com/watch?v=3tSlaffcQ2I
Koordinatensystem - Punkte ablesen mit Übung | Lehrerschmidt;https://www.youtube.com/watch?v=KzPknP4c01c
Combining terms (7) - Commutative law - Commutative law | Lehrerschmidt;https://www.youtube.com/watch?v=FXdsW3VoGX8
Sind Hausaufgaben (noch) sinnvoll? Ja und das ist der Grund! | Lehrerschmidt;https://www.youtube.com/watch?v=C56L_BVEQVw
Test yourself! Can you still do it? Review for 9th grade - Rule of three and interest - Lehrersch...;https://www.youtube.com/watch?v=JR2HlPuir6s
Lernen heißt erleben... alles andere ist Information! Sind strenge Lehrerinnen und Lehrer besser?;https://www.youtube.com/watch?v=EYlsp1n_vwI
Test yourself! Can you still do it? (7) Proportional and anti-proportional assignments - Lehrersc...;https://www.youtube.com/watch?v=_9xLJDM7GJs
Youth Word of the Year 2022: Smash! Is it dishonorable to become a maker? #Gassitogo;https://www.youtube.com/watch?v=XFVnHTXERxQ
Teste Dich! Kannst du es noch? (6) - Gleichungen, Flächeninhalt & Volumen | Lehrerschmidt;https://www.youtube.com/watch?v=-T8GqMNaFlo
Test yourself! Can you still do it? Review of the basics for 9th grade (V) | Teacher Schmidt;https://www.youtube.com/watch?v=gEzkhgoxVm8
Teste dich! Kannst du es noch? Wiederholung der Grundlagen für die 9. Klasse (IV) | Lehrerschmidt;https://www.youtube.com/watch?v=Qopq7dDs2ak
Teste Dich! Kannst du es noch? Wiederholung für die 9. Klasse (III) - Lehrerschmidt;https://www.youtube.com/watch?v=EnZFS8N_8y0
Teste dich! Kannst du es noch? Wiederholung der Grundlagen für die 9. Klasse (II) | Lehrerschmidt;https://www.youtube.com/watch?v=LGFz5QzHSNc
Test yourself! Can you still do it? Review of the basics for 9th grade - Teacher Schmidt;https://www.youtube.com/watch?v=NQ2bZuc1NtU
Bruchteile von Brüchen oder ganzen Zahlen berechnen | Lehrerschmidt;https://www.youtube.com/watch?v=-48NU9ifMOQ
Compound interest formula - term in years sought | Teacher Schmidt;https://www.youtube.com/watch?v=AnOC4hEl-WI
9 tips - the right preparation for the next class test or exam | Teacher Schmidt;https://www.youtube.com/watch?v=72DgtAarKx8
Stift, Heft & Mappe oder digital in der Schule? Wo liegen Vorteile und Nachteile?;https://www.youtube.com/watch?v=lN1Oa-XL4iA
10 tips for the new school year: Small things can make the difference!;https://www.youtube.com/watch?v=Vww79Zm7Jtw
Terme zusammenfassen (6) - Distributivgesetz / Verteilungsgesetz | Lehrerschmidt;https://www.youtube.com/watch?v=jzxwy64y5nE
Combining expressions (5) - with negative signs - Teacher Schmidt;https://www.youtube.com/watch?v=0ERr4oMBcdE
What I'll be doing during the summer holidays... #Gassitogo;https://www.youtube.com/watch?v=TpS19ua_tU0
5 tips to beat the heat!! ☀️☀️☀️ I'm hot! What can I do?;https://www.youtube.com/watch?v=or3YD4Pq5x8
Have a great holiday! You are not your report card – use your strengths!;https://www.youtube.com/watch?v=Wjp4JRsXxok
regelmäßige Dreieckspyramide  - Volumen berechnen | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=pvz1q1htiKg
Kosinus - Ankathete berechnen | Trigonometrie | Lehrerschmidt;https://www.youtube.com/watch?v=R2dyY_1A744
Terme zusammenfassen (4) - dividieren | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=gQC8FFmcFHo
Combining expressions (3) - multiplication | simply explained by teacher Schmidt;https://www.youtube.com/watch?v=hEp3-Yp9wQo
Terme zusammenfassen (2)  - subtrahieren | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=Sy6TR-z7zuQ
Terme zusammenfassen (1) - addieren und subtrahieren | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=PKBC90ZwU8A
10 tips for beautiful handwriting - How you can improve your handwriting! Teacher Schmidt;https://www.youtube.com/watch?v=2ePQH8riroI
A “social year” for everyone?;https://www.youtube.com/watch?v=RknNoq5GIFk
Kosinus - Hypotenuse berechnen - einfach erklärt | Trigonometrie | Lehrerschmidt;https://www.youtube.com/watch?v=kta4McyNcXc
I've graduated from school! Now what should I do? Make the right decision!;https://www.youtube.com/watch?v=jTGTow5R5t8
mündliche Prüfung  -  sicher und gut bestehen! 10 Tipps für Dich!;https://www.youtube.com/watch?v=ZQ7-gWIRxLM
Calculating cosine angles | Trigonometry | Teacher Schmidt;https://www.youtube.com/watch?v=jiBv-UeS9IQ
Cosine calculations with self-checking | Trigonometry | Lehrerschmidt;https://www.youtube.com/watch?v=Fx5AbnnqFxY
Tangens - Gegenkathete berechnen | Trigonometrie - Lehrerschmidt;https://www.youtube.com/watch?v=ZtryBOL0KyA
Calculating the tangent of the adjacent side | Trigonometry | Teacher Schmidt;https://www.youtube.com/watch?v=yLQklgsxFw4
Tangent - Calculating Angles | Trigonometry - Simply Explained | Teacher Schmidt;https://www.youtube.com/watch?v=q76sz4QrIls
Study book or exercise book? - That's the difference and the idea behind it!;https://www.youtube.com/watch?v=M1TnwSO9BiI
Sine calculations with self-checking exercises | Trigonometry | Lehrerschmidt;https://www.youtube.com/watch?v=aiD7htOUwEQ
10 Tipps: Versetzung gefährdet! -  Was kann ich (noch) tun?;https://www.youtube.com/watch?v=cmIWPK36uzQ
Sinus - Winkel berechnen - einfach erklärt - Trigonometrie | Lehrerschmidt;https://www.youtube.com/watch?v=jCA7vesx8qE
Calculating sine and hypotenuse - simple explanation | Trigonometry - Lehrerschmidt;https://www.youtube.com/watch?v=r1eBLo2NNgQ
Calculating the sine function on the opposite side - a simple explanation! Trigonometry - Teacher...;https://www.youtube.com/watch?v=BfSsV50-BGw
Square pyramid - calculate surface area (with a and hs) | Lehrerschmidt - simply explained;https://www.youtube.com/watch?v=ofr43etQWYs
Sphere - Calculate volume - explained very simply with Lehrerschmidt;https://www.youtube.com/watch?v=oaZr9g3lP8g
Calculating the weight of an object using its density | explained simply by teacher Schmidt;https://www.youtube.com/watch?v=OaUh5M4hCO8
Studying for the 2022 Mathematics Final Exam - Secondary School and Middle School |  Lehrerschmidt;https://www.youtube.com/watch?v=p8fQO9sLjj8
Sphere - calculate surface area - simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=zEtuEbUlfUo
Square pyramid - calculate volume (with a and Hk) | simply explained by Lehrerschmidt;https://www.youtube.com/watch?v=3N2g-d1pDkQ
Pyramide - richtig beschriften | Was ist: hk, ha, hs, s und a ? | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=9mmgxbaVCOA
Kugel  - Radius aus dem Volumen berechnen - Formel umstellen | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=SQM0-fJK61g
Calculating the surface area of ​​a hemisphere | explained simply by teacher Schmidt;https://www.youtube.com/watch?v=aJJFbgrznzA
Car-free Sunday? Is that a sensible idea? #Gassitogo;https://www.youtube.com/watch?v=JaHJ81EOwcE
Halbkugel  - Volumen berechnen | einfach erklärt von Lehrerschmidt;https://www.youtube.com/watch?v=qPbUNDyG-eQ
Cylinder - Calculating surface area - detailed explanation with two examples | Teacher Schmidt;https://www.youtube.com/watch?v=579dBO-cbMo
Kegel  - Volumen berechnen mit Radius oder Durchmesser | Lehrerschmidt;https://www.youtube.com/watch?v=IsPM8oH5Cmw
Kegel - Oberfläche berechnen - Radius und Höhe gegeben - Lehrerschmidt;https://www.youtube.com/watch?v=7KDWxSPxeJ8
Cylinder - Calculate radius or diameter from volume | Lehrerschmidt - simply explained;https://www.youtube.com/watch?v=H2_ty9p5bTw
Kegel - Radius und Durchmesser aus Volumen berechnen - Formel umstellen | Lehrerschmidt;https://www.youtube.com/watch?v=0L6I6b6CA0E
Four-day workweek – Would that be a work model for you? #Gassitogo;https://www.youtube.com/watch?v=nP8Z4x4NKAE
Are ice-free, heat-free, or storm-free days still appropriate?... or should distance learning tak...;https://www.youtube.com/watch?v=25jqORRGxuY
Cylinder - Calculating volume using radius and diameter | Teacher Schmidt - simply explained;https://www.youtube.com/watch?v=6sf_cvf4xxE
Angles at parallel lines - Understanding relationships | Teacher Schmidt;https://www.youtube.com/watch?v=D_9JeyujdaE
Creating a line chart - simply explained by teacher Schmidt;https://www.youtube.com/watch?v=PmsoHKzybg8
Finding the cube root (third root) - explained simply | Teacher Schmidt;https://www.youtube.com/watch?v=15iZX75AJ5w
10 tips for homeschooling - how to make it work (better)! | Teacher Schmidt;https://www.youtube.com/watch?v=wSLX0iwT_Wc
Decimal Fractions - Multiplication and Division Before Addition and Subtraction, and Parentheses ...;https://www.youtube.com/watch?v=QcEMD-OVPjw
Wenn das Zeugnis nicht so toll aussieht... ein paar einfache Tipps! #Gassitogo;https://www.youtube.com/watch?v=ESrZ_AAc_Lg
Fractions - Multiplication and division before addition and subtraction & parentheses take preced...;https://www.youtube.com/watch?v=HpZsi-rlcPo
Zeugniskonferenz - Wie läuft sie ab und was wird besprochen?;https://www.youtube.com/watch?v=lZExXUM552E
Mein Zeugnis wird nicht gut aussehen! 4 Tipps für bessere Noten! #Gassitogo;https://www.youtube.com/watch?v=ZJYLk1KuHa0
